HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
"Munster, IN",642.0,1071.0,42.0,74.0,239843.0,45234.0,47969.0,9974.0,2140.0,665.0,104.0,62.0,44.0,332.0,52.0,31.0,22.0,217.0,34.0,20.0,14.0,143.0,340.0,193.0,136.0,71.0,169.0,96.0,68.0,47.0,112.0,64.0,45.0,0.1885983747701621,159.89533333333333,0.5720000000000001
"Muskegon, MI",253.0,377.0,40.0,49.0,209507.0,45654.0,41901.0,8829.0,1925.0,589.0,233.0,156.0,118.0,294.0,116.0,78.0,59.0,192.0,76.0,51.0,38.0,128.0,320.0,261.0,225.0,64.0,160.0,131.0,112.0,42.0,105.0,86.0,74.0,0.2179115733603173,418.1776447105788,0.4950099800399201
"Napa, CA",152.0,304.0,41.0,56.0,218503.0,53625.0,43701.0,9322.0,2062.0,621.0,409.0,204.0,136.0,311.0,205.0,102.0,68.0,203.0,134.0,67.0,45.0,137.0,334.0,245.0,196.0,69.0,168.0,123.0,99.0,45.0,110.0,80.0,64.0,0.2454199713505077,479.1732456140351,0.6666666666666667
"Nashville, TN",2987.0,5398.0,317.0,717.0,2282662.0,410987.0,456532.0,94550.0,20190.0,6303.0,211.0,117.0,81.0,3152.0,106.0,58.0,40.0,2055.0,69.0,38.0,26.0,1346.0,425.0,188.0,120.0,673.0,212.0,94.0,60.0,439.0,138.0,61.0,39.0,0.1800472430872376,292.2742637644046,0.6175416133162612
"Neenah, WI",262.0,355.0,25.0,35.0,191863.0,39899.0,38373.0,8049.0,1745.0,537.0,205.0,151.0,120.0,268.0,102.0,75.0,60.0,175.0,67.0,49.0,39.0,116.0,464.0,331.0,252.0,58.0,232.0,166.0,126.0,38.0,152.0,109.0,83.0,0.2079556767068168,429.2237136465324,0.4138702460850112
"New Brunswick, NJ",616.0,1397.0,126.0,170.0,845392.0,153380.0,169078.0,35039.0,7488.0,2336.0,379.0,167.0,107.0,1168.0,190.0,84.0,54.0,762.0,124.0,55.0,35.0,499.0,396.0,294.0,234.0,250.0,198.0,147.0,117.0,163.0,129.0,96.0,77.0,0.181430626265685,388.32889297197977,0.7170418006430868
"New Haven, CT",610.0,1717.0,118.0,202.0,1177072.0,244084.0,235414.0,49366.0,10701.0,3291.0,540.0,192.0,116.0,1646.0,270.0,96.0,58.0,1073.0,176.0,62.0,38.0,713.0,604.0,353.0,249.0,357.0,303.0,177.0,125.0,233.0,197.0,115.0,81.0,0.207365394810173,416.6626548672567,0.784070796460177
"New Orleans, LA",869.0,1680.0,77.0,195.0,554325.0,92037.0,110865.0,22813.0,4833.0,1521.0,175.0,91.0,61.0,760.0,87.0,45.0,31.0,496.0,57.0,30.0,20.0,322.0,418.0,165.0,103.0,161.0,209.0,83.0,51.0,105.0,136.0,54.0,34.0,0.1660343661209579,222.5311120032116,0.65114411882778
"Newark, NJ",1033.0,2334.0,195.0,299.0,1233539.0,198090.0,246708.0,50638.0,10694.0,3376.0,327.0,145.0,93.0,1688.0,163.0,72.0,46.0,1101.0,107.0,47.0,30.0,713.0,366.0,238.0,177.0,356.0,183.0,119.0,88.0,232.0,119.0,78.0,58.0,0.160586734590475,339.25715071507153,0.715896589658966
"Newport News, VA",251.0,578.0,45.0,95.0,447424.0,89385.0,89485.0,18700.0,4037.0,1247.0,497.0,216.0,138.0,623.0,248.0,108.0,69.0,407.0,162.0,70.0,45.0,269.0,598.0,283.0,186.0,135.0,300.0,142.0,93.0,88.0,196.0,93.0,61.0,0.1997769453583178,494.3911602209945,0.7226519337016575
"Norfolk, VA",782.0,1663.0,82.0,179.0,1023500.0,174191.0,204700.0,42203.0,8962.0,2814.0,360.0,169.0,111.0,1407.0,180.0,85.0,55.0,917.0,117.0,55.0,36.0,597.0,728.0,334.0,216.0,299.0,365.0,167.0,108.0,195.0,238.0,109.0,71.0,0.1701914997557401,402.4773889107353,0.6924891860007865
"Ocala, FL",289.0,596.0,51.0,100.0,449792.0,185054.0,89958.0,20608.0,4918.0,1374.0,475.0,231.0,152.0,687.0,238.0,115.0,76.0,448.0,155.0,75.0,50.0,328.0,643.0,328.0,219.0,164.0,322.0,164.0,109.0,107.0,210.0,107.0,71.0,0.4114212791690381,498.6607538802661,0.6796008869179602
"Odessa, TX",543.0,779.0,38.0,70.0,283753.0,43182.0,56751.0,11603.0,2438.0,774.0,143.0,99.0,76.0,387.0,71.0,50.0,38.0,252.0,46.0,32.0,25.0,163.0,429.0,233.0,161.0,81.0,213.0,116.0,80.0,53.0,139.0,76.0,52.0,0.1521816509428975,279.8353057199211,0.4644970414201184
"Ogden, UT",371.0,561.0,42.0,76.0,356000.0,51907.0,71200.0,14514.0,3039.0,968.0,261.0,173.0,129.0,484.0,130.0,86.0,65.0,316.0,85.0,56.0,42.0,203.0,483.0,267.0,185.0,101.0,240.0,133.0,92.0,66.0,157.0,87.0,60.0,0.1458061797752809,474.6666666666667,0.5053333333333334
"Oklahoma City, OK",2447.0,3994.0,225.0,404.0,1491485.0,279037.0,298297.0,61978.0,13287.0,4132.0,169.0,103.0,75.0,2066.0,84.0,52.0,37.0,1347.0,55.0,34.0,24.0,886.0,394.0,219.0,152.0,443.0,197.0,110.0,76.0,289.0,128.0,72.0,50.0,0.1870866954746444,269.1725320339289,0.5583829633640137
"Olympia, WA",173.0,365.0,25.0,54.0,320156.0,71021.0,64031.0,13515.0,2952.0,901.0,521.0,247.0,161.0,450.0,260.0,123.0,81.0,294.0,170.0,81.0,53.0,197.0,788.0,365.0,235.0,98.0,392.0,181.0,117.0,64.0,256.0,119.0,76.0,0.2218324816651882,573.7562724014336,0.6899641577060932
"Omaha, NE",1742.0,2879.0,184.0,317.0,1010995.0,195073.0,202199.0,42124.0,9060.0,2808.0,161.0,98.0,70.0,1404.0,81.0,49.0,35.0,916.0,53.0,32.0,23.0,604.0,328.0,191.0,135.0,302.0,164.0,95.0,67.0,197.0,107.0,62.0,44.0,0.1929514982764504,251.6791137664924,0.5663430420711975
"Orange County, CA",2236.0,4024.0,293.0,491.0,2662559.0,456181.0,532512.0,109845.0,23341.0,7323.0,328.0,182.0,126.0,3662.0,164.0,91.0,63.0,2388.0,107.0,59.0,41.0,1556.0,531.0,317.0,226.0,778.0,266.0,158.0,113.0,507.0,173.0,103.0,73.0,0.1713317902063391,458.0352657835885,0.615344916566317
"Orlando, FL",3292.0,6648.0,448.0,866.0,3130935.0,714153.0,626187.0,132544.0,29051.0,8836.0,268.0,133.0,88.0,4418.0,134.0,66.0,44.0,2881.0,88.0,43.0,29.0,1937.0,432.0,224.0,151.0,968.0,216.0,112.0,75.0,632.0,141.0,73.0,49.0,0.2280957605315983,312.96831267493,0.6709316273490604
"Ormond Beach, FL",359.0,616.0,63.0,110.0,338880.0,108815.0,67776.0,14945.0,3429.0,996.0,277.0,162.0,114.0,498.0,139.0,81.0,57.0,325.0,91.0,53.0,37.0,229.0,363.0,208.0,145.0,114.0,181.0,104.0,72.0,75.0,119.0,68.0,47.0,0.32110186496695,388.6238532110092,0.588302752293578
"Owensboro, KY",175.0,282.0,14.0,25.0,112038.0,24900.0,22408.0,4731.0,1034.0,315.0,180.0,112.0,81.0,158.0,90.0,56.0,41.0,103.0,59.0,37.0,26.0,69.0,493.0,276.0,192.0,34.0,243.0,136.0,94.0,22.0,157.0,88.0,61.0,0.2222460236705403,287.2769230769231,0.5512820512820513
"Oxford, MS",344.0,589.0,15.0,22.0,116854.0,21977.0,23371.0,4858.0,1042.0,324.0,94.0,55.0,39.0,162.0,47.0,28.0,19.0,106.0,31.0,18.0,13.0,69.0,460.0,314.0,238.0,35.0,233.0,159.0,121.0,23.0,153.0,105.0,79.0,0.1880722953429065,139.94491017964071,0.5880239520958084
"Paducah, KY",779.0,1134.0,57.0,87.0,290227.0,70421.0,58045.0,12367.0,2731.0,824.0,106.0,73.0,55.0,412.0,53.0,36.0,28.0,269.0,35.0,24.0,18.0,182.0,319.0,209.0,156.0,91.0,160.0,105.0,78.0,59.0,104.0,68.0,50.0,0.2426411050660345,194.78322147651008,0.4771812080536912
"Palm Springs/Rancho Mira, CA",404.0,689.0,23.0,46.0,305976.0,94312.0,61195.0,13419.0,3060.0,895.0,222.0,130.0,92.0,447.0,111.0,65.0,46.0,292.0,72.0,42.0,30.0,204.0,887.0,443.0,296.0,102.0,443.0,222.0,148.0,67.0,291.0,146.0,97.0,0.3082333254895809,314.14373716632446,0.5852156057494866
"Paterson, NJ",527.0,845.0,12.0,48.0,310775.0,60087.0,62155.0,12951.0,2786.0,863.0,164.0,102.0,74.0,432.0,82.0,51.0,37.0,282.0,54.0,33.0,24.0,186.0,1550.0,388.0,221.0,93.0,775.0,194.0,111.0,61.0,508.0,127.0,73.0,0.1933456680878449,266.98883161512026,0.5472508591065293
"Pensacola, FL",755.0,1378.0,91.0,160.0,636854.0,130505.0,127371.0,26680.0,5776.0,1779.0,236.0,129.0,89.0,889.0,118.0,65.0,44.0,580.0,77.0,42.0,29.0,385.0,423.0,241.0,167.0,193.0,212.0,121.0,84.0,126.0,138.0,79.0,55.0,0.2049213791544058,318.2678660669665,0.6226886556721639
"Peoria, IL",643.0,1184.0,71.0,114.0,469070.0,106095.0,93814.0,19840.0,4344.0,1323.0,206.0,112.0,77.0,661.0,103.0,56.0,38.0,431.0,67.0,36.0,25.0,290.0,408.0,254.0,186.0,145.0,204.0,127.0,93.0,94.0,132.0,82.0,60.0,0.2261815933655957,271.9246376811594,0.6272463768115942
"Petoskey, MI",178.0,327.0,22.0,45.0,142627.0,37819.0,28525.0,6138.0,1371.0,409.0,230.0,125.0,86.0,205.0,115.0,63.0,43.0,133.0,75.0,41.0,28.0,91.0,414.0,202.0,134.0,46.0,209.0,102.0,68.0,30.0,136.0,67.0,44.0,0.2651601730387654,299.63655462184875,0.6260504201680672
"Philadelphia, PA",3634.0,7165.0,546.0,902.0,3331376.0,632032.0,666275.0,138601.0,29757.0,9240.0,254.0,129.0,86.0,4620.0,127.0,64.0,43.0,3013.0,83.0,42.0,28.0,1984.0,363.0,220.0,158.0,992.0,182.0,110.0,79.0,647.0,118.0,72.0,51.0,0.1897210041736507,311.4308684677947,0.6602785827802187
"Phoenix, AZ",2567.0,4772.0,416.0,687.0,2761090.0,532669.0,552218.0,115042.0,24742.0,7669.0,299.0,161.0,110.0,3835.0,149.0,80.0,55.0,2501.0,97.0,52.0,36.0,1649.0,396.0,240.0,172.0,825.0,198.0,120.0,86.0,538.0,129.0,78.0,56.0,0.1929198251415202,395.7417228034972,0.6320768238497922
"Pittsburgh, PA",2738.0,5436.0,420.0,749.0,2324172.0,541967.0,464834.0,98616.0,21672.0,6574.0,240.0,121.0,81.0,3287.0,120.0,60.0,40.0,2144.0,78.0,39.0,26.0,1445.0,344.0,193.0,134.0,722.0,172.0,96.0,67.0,471.0,112.0,63.0,44.0,0.2331871307287068,285.7705643673921,0.6633468584778064
"Pontiac, MI",321.0,616.0,49.0,72.0,376936.0,70983.0,75387.0,15672.0,3362.0,1045.0,326.0,170.0,115.0,522.0,163.0,85.0,57.0,341.0,106.0,55.0,37.0,224.0,457.0,311.0,236.0,112.0,229.0,156.0,118.0,73.0,149.0,101.0,77.0,0.1883157883566441,413.76070252469816,0.6476399560922064
"Portland, ME",710.0,1617.0,92.0,151.0,876231.0,194509.0,175246.0,36992.0,8082.0,2466.0,347.0,153.0,98.0,1233.0,174.0,76.0,49.0,804.0,113.0,50.0,32.0,539.0,586.0,357.0,258.0,269.0,292.0,178.0,129.0,176.0,191.0,117.0,84.0,0.2219837006451495,347.15966719492866,0.7187004754358162
"Portland, OR",1737.0,3211.0,278.0,469.0,2215589.0,412976.0,443118.0,92039.0,19724.0,6136.0,353.0,191.0,131.0,3068.0,177.0,96.0,65.0,2001.0,115.0,62.0,43.0,1315.0,473.0,280.0,199.0,657.0,236.0,140.0,99.0,429.0,154.0,91.0,65.0,0.1863955814909714,473.0121690862511,0.6291631084543126
"Providence, RI",690.0,1470.0,82.0,188.0,986702.0,192737.0,197340.0,41157.0,8863.0,2744.0,398.0,187.0,122.0,1372.0,199.0,93.0,61.0,895.0,130.0,61.0,40.0,591.0,721.0,314.0,202.0,295.0,360.0,157.0,101.0,193.0,235.0,103.0,66.0,0.1953345589651181,438.7292129835482,0.6931969764339707
"Provo, UT",387.0,664.0,52.0,87.0,436975.0,52585.0,87395.0,17604.0,3630.0,1174.0,303.0,177.0,125.0,587.0,152.0,88.0,62.0,383.0,99.0,58.0,41.0,242.0,465.0,278.0,198.0,121.0,233.0,139.0,99.0,79.0,152.0,91.0,65.0,0.1203386921448595,464.3730074388948,0.5887353878852285
"Pueblo, CO",238.0,426.0,7.0,17.0,138550.0,32449.0,27710.0,5881.0,1293.0,392.0,165.0,92.0,64.0,196.0,82.0,46.0,32.0,128.0,54.0,30.0,21.0,86.0,1229.0,506.0,307.0,43.0,614.0,253.0,154.0,28.0,400.0,165.0,100.0,0.2342042583904727,225.28455284552845,0.6130081300813008
"Raleigh, NC",1124.0,2342.0,160.0,267.0,1670043.0,272076.0,334009.0,68631.0,14513.0,4575.0,407.0,195.0,129.0,2288.0,204.0,98.0,64.0,1492.0,133.0,64.0,42.0,968.0,605.0,363.0,258.0,484.0,303.0,181.0,129.0,316.0,198.0,118.0,84.0,0.162915565647112,469.113202247191,0.6842696629213483
"Rapid City, SD",343.0,610.0,20.0,33.0,173590.0,37388.0,34718.0,7307.0,1591.0,487.0,142.0,80.0,55.0,244.0,71.0,40.0,28.0,159.0,46.0,26.0,18.0,106.0,530.0,321.0,230.0,53.0,265.0,161.0,115.0,35.0,175.0,106.0,76.0,0.2153810703381531,197.71070615034168,0.6093394077448747
"Reading, PA",559.0,944.0,50.0,75.0,466917.0,99775.0,93383.0,19638.0,4272.0,1309.0,234.0,139.0,98.0,655.0,117.0,69.0,49.0,427.0,76.0,45.0,32.0,285.0,570.0,380.0,288.0,142.0,284.0,189.0,143.0,93.0,186.0,124.0,94.0,0.2136889425743761,351.3295711060948,0.5793829947328819
"Redding, CA",284.0,535.0,58.0,83.0,276179.0,64591.0,55236.0,11722.0,2577.0,781.0,275.0,146.0,99.0,391.0,138.0,73.0,50.0,255.0,90.0,48.0,32.0,172.0,297.0,207.0,158.0,86.0,148.0,104.0,79.0,56.0,97.0,67.0,51.0,0.2338736833720159,351.3727735368957,0.638676844783715
"Reno, NV",660.0,1273.0,128.0,267.0,605953.0,127753.0,121191.0,25454.0,5528.0,1697.0,257.0,133.0,90.0,848.0,128.0,67.0,45.0,553.0,84.0,43.0,29.0,369.0,288.0,138.0,91.0,184.0,144.0,69.0,45.0,120.0,94.0,45.0,30.0,0.2108298828456992,321.2900318133616,0.6500530222693531
"Richmond, VA",1488.0,2983.0,144.0,305.0,1409076.0,264187.0,281815.0,58564.0,12558.0,3904.0,262.0,131.0,87.0,1952.0,131.0,65.0,44.0,1273.0,86.0,43.0,28.0,837.0,581.0,274.0,180.0,419.0,291.0,137.0,90.0,273.0,190.0,90.0,59.0,0.1874895321473078,314.66636891469403,0.6677087985707906
"Ridgewood, NJ",275.0,544.0,35.0,59.0,338732.0,65551.0,67746.0,14117.0,3037.0,941.0,342.0,173.0,116.0,471.0,171.0,87.0,58.0,307.0,112.0,56.0,38.0,202.0,577.0,342.0,243.0,101.0,289.0,171.0,122.0,66.0,189.0,112.0,80.0,0.1935187700010628,416.1326781326781,0.6621621621621622
"Roanoke, VA",593.0,1391.0,113.0,192.0,569741.0,127897.0,113948.0,24080.0,5268.0,1605.0,271.0,115.0,73.0,803.0,135.0,58.0,37.0,523.0,88.0,38.0,24.0,351.0,311.0,183.0,129.0,176.0,156.0,92.0,65.0,115.0,102.0,60.0,42.0,0.224482703544242,260.2745545911376,0.7291000456829603
"Rochester, MN",594.0,1215.0,90.0,165.0,320367.0,71522.0,64073.0,13533.0,2959.0,902.0,152.0,74.0,49.0,451.0,76.0,37.0,25.0,294.0,49.0,24.0,16.0,197.0,219.0,119.0,82.0,99.0,110.0,60.0,41.0,64.0,71.0,39.0,27.0,0.2232502099155031,174.58692098092644,0.6762942779291553
"Rochester, NY",827.0,2297.0,87.0,188.0,1036499.0,211611.0,207300.0,43408.0,9393.0,2894.0,350.0,126.0,77.0,1447.0,175.0,63.0,38.0,944.0,114.0,41.0,25.0,626.0,720.0,333.0,217.0,313.0,360.0,166.0,108.0,204.0,234.0,109.0,71.0,0.2041593865503005,275.2254381306426,0.7804036112586299
"Rockford, IL",613.0,966.0,96.0,147.0,552131.0,118035.0,110426.0,23224.0,5052.0,1548.0,253.0,160.0,117.0,774.0,126.0,80.0,59.0,505.0,82.0,52.0,38.0,337.0,351.0,229.0,169.0,168.0,175.0,114.0,84.0,110.0,115.0,75.0,55.0,0.2137807875304954,418.2810606060606,0.5356060606060606
"Rome, GA",229.0,481.0,16.0,45.0,221920.0,45706.0,44384.0,9301.0,2015.0,620.0,271.0,129.0,85.0,310.0,135.0,64.0,42.0,202.0,88.0,42.0,28.0,134.0,838.0,298.0,181.0,67.0,419.0,149.0,91.0,44.0,275.0,98.0,59.0,0.2059571016582552,302.7557980900409,0.6875852660300137
"Royal Oak, MI",858.0,1819.0,97.0,211.0,556198.0,117512.0,111240.0,23368.0,5076.0,1558.0,182.0,86.0,56.0,779.0,91.0,43.0,28.0,508.0,59.0,28.0,18.0,338.0,348.0,160.0,104.0,169.0,174.0,80.0,52.0,110.0,113.0,52.0,34.0,0.2112772789546168,199.99928083423228,0.6914778856526429
"Sacramento, CA",1315.0,2848.0,224.0,420.0,2076640.0,403030.0,415328.0,86570.0,18631.0,5771.0,439.0,203.0,132.0,2886.0,219.0,101.0,66.0,1882.0,143.0,66.0,43.0,1242.0,554.0,296.0,202.0,621.0,277.0,148.0,101.0,405.0,181.0,96.0,66.0,0.1940779335850219,474.0104998858708,0.6998402191280529
"Saginaw, MI",962.0,1679.0,63.0,136.0,489824.0,124235.0,97965.0,20974.0,4658.0,1398.0,145.0,83.0,58.0,699.0,73.0,42.0,29.0,456.0,47.0,27.0,19.0,311.0,494.0,229.0,150.0,155.0,246.0,114.0,75.0,101.0,160.0,74.0,49.0,0.2536319167701051,204.4340567612688,0.5984974958263773
"Salem, OR",154.0,321.0,10.0,37.0,255161.0,50897.0,51032.0,10663.0,2302.0,711.0,462.0,221.0,146.0,355.0,231.0,111.0,73.0,232.0,151.0,72.0,48.0,153.0,1530.0,414.0,239.0,77.0,770.0,208.0,120.0,50.0,500.0,135.0,78.0,0.1994701384615987,523.9445585215606,0.6837782340862423
"Salinas, CA",290.0,515.0,37.0,54.0,303247.0,51843.0,60649.0,12508.0,2657.0,834.0,288.0,162.0,113.0,417.0,144.0,81.0,56.0,272.0,94.0,53.0,37.0,177.0,478.0,328.0,253.0,89.0,241.0,165.0,127.0,58.0,157.0,107.0,83.0,0.1709596467566043,409.7932432432432,0.6081081081081081
"Salisbury, MD",187.0,392.0,26.0,43.0,371513.0,100254.0,74303.0,16022.0,3587.0,1068.0,571.0,272.0,179.0,534.0,286.0,136.0,89.0,348.0,186.0,89.0,58.0,239.0,919.0,556.0,405.0,120.0,462.0,279.0,203.0,78.0,300.0,181.0,132.0,0.2698532756592636,621.2591973244147,0.6872909698996655
"Salt Lake City, UT",1804.0,2902.0,277.0,402.0,1552687.0,249737.0,310537.0,63747.0,13464.0,4250.0,236.0,146.0,106.0,2125.0,118.0,73.0,53.0,1386.0,77.0,48.0,35.0,898.0,324.0,223.0,171.0,449.0,162.0,112.0,85.0,293.0,106.0,73.0,56.0,0.1608418180869679,388.26881720430106,0.5488872218054514
"San Angelo, TX",323.0,454.0,17.0,26.0,126084.0,26085.0,25217.0,5287.0,1146.0,352.0,109.0,78.0,60.0,176.0,54.0,39.0,30.0,115.0,36.0,25.0,20.0,76.0,447.0,292.0,217.0,38.0,224.0,146.0,109.0,25.0,147.0,96.0,71.0,0.2068858856000761,215.8972602739726,0.446917808219178
"San Antonio, TX",2477.0,4356.0,216.0,482.0,2191766.0,376149.0,438353.0,90434.0,19219.0,6029.0,243.0,138.0,97.0,3014.0,122.0,69.0,48.0,1966.0,79.0,45.0,32.0,1281.0,593.0,266.0,171.0,641.0,297.0,133.0,86.0,418.0,194.0,87.0,56.0,0.1716191418244466,351.58261148540265,0.6026628168110362
"San Bernardino, CA",2125.0,3908.0,231.0,460.0,2406889.0,366977.0,481378.0,98434.0,20690.0,6562.0,309.0,168.0,115.0,3281.0,154.0,84.0,58.0,2140.0,101.0,55.0,38.0,1379.0,597.0,300.0,200.0,690.0,299.0,150.0,100.0,450.0,195.0,98.0,65.0,0.1524694325330333,422.9290107186786,0.6266034088912318
"San Diego, CA",1949.0,4064.0,358.0,580.0,3005567.0,497077.0,601113.0,123656.0,26186.0,8244.0,423.0,203.0,133.0,4122.0,211.0,101.0,67.0,2688.0,138.0,66.0,44.0,1746.0,488.0,301.0,218.0,873.0,244.0,151.0,109.0,569.0,159.0,98.0,71.0,0.1653854330979811,486.4951440595662,0.6845257364842992
"San Francisco, CA",1139.0,2458.0,203.0,321.0,1272753.0,236390.0,254551.0,52856.0,11323.0,3524.0,309.0,143.0,93.0,1762.0,155.0,72.0,47.0,1149.0,101.0,47.0,30.0,755.0,372.0,235.0,172.0,377.0,186.0,117.0,86.0,246.0,121.0,77.0,56.0,0.1857312455755358,337.0638241525424,0.6983580508474576
"San Jose, CA",916.0,1731.0,146.0,244.0,1456607.0,234573.0,291321.0,59808.0,12634.0,3987.0,435.0,230.0,157.0,1994.0,218.0,115.0,78.0,1300.0,142.0,75.0,51.0,842.0,577.0,345.0,247.0,421.0,288.0,173.0,123.0,275.0,188.0,113.0,81.0,0.1610406925134919,571.891244601492,0.6403612092658029
"San Luis Obispo, CA",202.0,296.0,33.0,44.0,213703.0,46965.0,42741.0,9013.0,1967.0,601.0,298.0,203.0,154.0,300.0,149.0,101.0,77.0,196.0,97.0,66.0,50.0,131.0,397.0,298.0,243.0,66.0,200.0,150.0,122.0,43.0,130.0,98.0,80.0,0.2197676214185107,547.9564102564102,0.482051282051282
"San Mateo County, CA",452.0,1003.0,88.0,143.0,666874.0,128195.0,133375.0,27777.0,5972.0,1852.0,410.0,185.0,119.0,926.0,205.0,92.0,60.0,604.0,134.0,60.0,39.0,398.0,452.0,278.0,201.0,199.0,226.0,139.0,101.0,130.0,148.0,91.0,66.0,0.1922327156254404,428.8578778135048,0.7093247588424437
"Santa Barbara, CA",246.0,552.0,35.0,59.0,359828.0,67153.0,71966.0,14949.0,3204.0,997.0,405.0,181.0,116.0,498.0,202.0,90.0,58.0,325.0,132.0,59.0,38.0,214.0,611.0,363.0,261.0,107.0,306.0,181.0,130.0,70.0,200.0,119.0,85.0,0.1866252765210044,419.3799533799534,0.7132867132867133
"Santa Cruz, CA",169.0,264.0,6.0,14.0,229413.0,39590.0,45883.0,9470.0,2014.0,631.0,373.0,239.0,176.0,316.0,187.0,120.0,88.0,206.0,122.0,78.0,57.0,134.0,2233.0,957.0,609.0,67.0,1117.0,479.0,305.0,44.0,733.0,314.0,200.0,0.1725708656440568,639.033426183844,0.5292479108635098
"Santa Rosa, CA",306.0,789.0,45.0,69.0,402885.0,88435.0,80577.0,16990.0,3707.0,1133.0,370.0,144.0,89.0,566.0,185.0,72.0,44.0,369.0,121.0,47.0,29.0,247.0,549.0,358.0,266.0,124.0,276.0,180.0,133.0,81.0,180.0,117.0,87.0,0.2195043250555369,316.73349056603774,0.7594339622641509
"Sarasota, FL",604.0,957.0,77.0,118.0,374960.0,156791.0,74992.0,17228.0,4122.0,1149.0,190.0,120.0,88.0,574.0,95.0,60.0,44.0,375.0,62.0,39.0,29.0,275.0,357.0,233.0,173.0,137.0,178.0,116.0,86.0,90.0,117.0,76.0,57.0,0.4181539364198848,286.4476699770817,0.5385790679908327
"Savannah, GA",650.0,1350.0,55.0,109.0,701923.0,139656.0,140385.0,29327.0,6328.0,1955.0,301.0,145.0,95.0,978.0,150.0,72.0,48.0,638.0,98.0,47.0,31.0,422.0,767.0,387.0,259.0,211.0,384.0,194.0,129.0,138.0,251.0,127.0,85.0,0.1989619944067939,342.4014634146341,0.6829268292682926
"Sayre, PA",215.0,403.0,28.0,45.0,153089.0,36987.0,30618.0,6520.0,1439.0,435.0,202.0,108.0,74.0,217.0,101.0,54.0,37.0,142.0,66.0,35.0,24.0,96.0,343.0,213.0,155.0,48.0,171.0,107.0,77.0,31.0,111.0,69.0,50.0,0.2416045568264212,259.03384094754654,0.6362098138747885
"Scranton, PA",324.0,553.0,31.0,48.0,253817.0,63450.0,50763.0,10851.0,2405.0,723.0,223.0,131.0,92.0,362.0,112.0,65.0,46.0,236.0,73.0,43.0,30.0,160.0,516.0,333.0,246.0,80.0,258.0,167.0,123.0,52.0,168.0,108.0,80.0,0.2499832556526946,324.574168797954,0.5856777493606138
"Seattle, WA",1366.0,3033.0,209.0,430.0,2421217.0,421176.0,484243.0,100009.0,21282.0,6667.0,488.0,220.0,142.0,3334.0,244.0,110.0,71.0,2174.0,159.0,72.0,46.0,1419.0,679.0,330.0,218.0,709.0,339.0,165.0,109.0,463.0,222.0,108.0,71.0,0.1739521901589159,515.1525531914893,0.7093617021276596
"Shreveport, LA",1080.0,1774.0,111.0,197.0,531003.0,109269.0,106201.0,22254.0,4820.0,1484.0,137.0,84.0,60.0,742.0,69.0,42.0,30.0,484.0,45.0,27.0,20.0,321.0,289.0,163.0,113.0,161.0,145.0,82.0,57.0,105.0,95.0,53.0,37.0,0.2057784984265625,215.15518638573744,0.5623987034035656
"Sioux City, IA",362.0,635.0,23.0,41.0,195685.0,41561.0,39137.0,8226.0,1788.0,548.0,151.0,86.0,60.0,274.0,76.0,43.0,30.0,179.0,49.0,28.0,20.0,119.0,517.0,290.0,202.0,60.0,261.0,146.0,102.0,39.0,170.0,95.0,66.0,0.2123872550272121,215.27502750275028,0.6017601760176017
"Sioux Falls, SD",1653.0,2859.0,52.0,77.0,603563.0,129561.0,120713.0,25397.0,5527.0,1693.0,102.0,59.0,42.0,847.0,51.0,30.0,21.0,552.0,33.0,19.0,14.0,368.0,708.0,478.0,357.0,184.0,354.0,239.0,179.0,120.0,231.0,156.0,117.0,0.2146602757292942,148.4779827798278,0.5933579335793358
"Slidell, LA",338.0,437.0,70.0,103.0,149492.0,32656.0,29898.0,6301.0,1374.0,420.0,124.0,96.0,78.0,210.0,62.0,48.0,39.0,137.0,41.0,31.0,26.0,92.0,131.0,89.0,67.0,46.0,66.0,45.0,34.0,30.0,43.0,29.0,22.0,0.2184464720520161,278.9029850746269,0.3694029850746269
